filename = L2-2way.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8026 	
| V:1 D:0 Tag: 0x8026 	
| V:1 D:0 Tag: 0x8028 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8026 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8029 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8011 	
| V:1 D:0 Tag: 0x8011 	
| V:1 D:0 Tag: 0x8011 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x800f 	
| V:1 D:0 Tag: 0x800f 	
| V:1 D:0 Tag: 0x800f 	
=========================L1D=========================
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8061 	
| V:1 D:0 Tag: 0x8061 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8076 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8071 	
| V:1 D:1 Tag: 0x4007 	
| V:1 D:1 Tag: 0x4007 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:1 Tag: 0x4007 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x4007 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x8062 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x807d 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x8077 	
| V:1 D:1 Tag: 0x8077 	
| V:1 D:1 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:1 Tag: 0x8077 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:1 Tag: 0x8073 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8073 	
| V:1 D:0 Tag: 0x8060 	
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8073 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:1 Tag: 0x8077 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x8073 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8071 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x8073 	
| V:1 D:1 Tag: 0x8073 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x807f 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807a 	
| V:1 D:0 Tag: 0x807a 	
| V:1 D:0 Tag: 0x807a 	
| V:1 D:0 Tag: 0x807a 	
| V:1 D:0 Tag: 0x807a 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x8051 	
| V:1 D:0 Tag: 0x8051 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x8051 	
| V:1 D:0 Tag: 0x8051 	
| V:1 D:0 Tag: 0x8051 	
| V:1 D:0 Tag: 0x8051 	
=========================L2==========================
| V:1 D:0 Tag: 0x2012 	| V:1 D:0 Tag: 0x201b 	
| V:1 D:0 Tag: 0x2012 	| V:1 D:0 Tag: 0x1000 	
| V:1 D:0 Tag: 0x1000 	| V:1 D:1 Tag: 0x1002 	
| V:1 D:0 Tag: 0x1000 	| V:1 D:1 Tag: 0x1002 	
| V:1 D:0 Tag: 0x1000 	| V:1 D:1 Tag: 0x1002 	
| V:1 D:0 Tag: 0x1000 	| V:1 D:1 Tag: 0x1002 	
| V:1 D:0 Tag: 0x1000 	| V:1 D:1 Tag: 0x1002 	
| V:1 D:0 Tag: 0x1000 	| V:1 D:1 Tag: 0x1002 	
| V:1 D:0 Tag: 0x2000 	| V:1 D:0 Tag: 0x201b 	
| V:1 D:0 Tag: 0x2000 	| V:1 D:0 Tag: 0x201b 	
| V:1 D:0 Tag: 0x2000 	| V:1 D:0 Tag: 0x200d 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201d 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201b 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x1002 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x1002 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x1002 	
| V:1 D:0 Tag: 0x201d 	| V:1 D:0 Tag: 0x1002 	
| V:1 D:0 Tag: 0x201d 	| V:1 D:0 Tag: 0x200d 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:1 Tag: 0x201f 	
| V:1 D:0 Tag: 0x201f 	| V:1 D:0 Tag: 0x200d 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201f 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201d 	
| V:1 D:0 Tag: 0x201d 	| V:1 D:0 Tag: 0x2009 	
| V:1 D:0 Tag: 0x201d 	| V:1 D:0 Tag: 0x201f 	
| V:1 D:0 Tag: 0x201d 	| V:1 D:0 Tag: 0x201f 	
| V:1 D:0 Tag: 0x2009 	| V:1 D:0 Tag: 0x201d 	
| V:1 D:0 Tag: 0x2009 	| V:1 D:0 Tag: 0x200d 	
| V:1 D:0 Tag: 0x201c 	| V:1 D:0 Tag: 0x200d 	
| V:1 D:0 Tag: 0x2009 	| V:1 D:0 Tag: 0x201f 	
| V:1 D:0 Tag: 0x2009 	| V:1 D:0 Tag: 0x201d 	
| V:1 D:1 Tag: 0x201d 	| V:1 D:1 Tag: 0x201f 	
| V:1 D:0 Tag: 0x201f 	| V:1 D:1 Tag: 0x2020 	
| V:1 D:1 Tag: 0x201f 	| V:1 D:0 Tag: 0x2020 	
| V:1 D:1 Tag: 0x2020 	| V:1 D:0 Tag: 0x2009 	
| V:1 D:1 Tag: 0x201f 	| V:1 D:1 Tag: 0x2020 	
| V:1 D:1 Tag: 0x201f 	| V:1 D:1 Tag: 0x2020 	
| V:1 D:1 Tag: 0x201f 	| V:1 D:1 Tag: 0x2020 	
| V:1 D:1 Tag: 0x201f 	| V:1 D:1 Tag: 0x2020 	
| V:1 D:1 Tag: 0x201f 	| V:1 D:1 Tag: 0x2020 	
| V:1 D:0 Tag: 0x201f 	| V:1 D:1 Tag: 0x2020 	
| V:1 D:0 Tag: 0x201f 	| V:1 D:1 Tag: 0x2020 	
| V:1 D:1 Tag: 0x2020 	| V:1 D:0 Tag: 0x2009 	
| V:1 D:1 Tag: 0x201f 	| V:1 D:1 Tag: 0x2020 	
| V:1 D:0 Tag: 0x201f 	| V:1 D:1 Tag: 0x2020 	
| V:1 D:0 Tag: 0x2013 	| V:1 D:1 Tag: 0x201f 	
| V:1 D:0 Tag: 0x2013 	| V:1 D:1 Tag: 0x201f 	
| V:1 D:0 Tag: 0x201f 	| V:1 D:0 Tag: 0x200d 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:1 Tag: 0x201f 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201f 	
| V:1 D:1 Tag: 0x2020 	| V:1 D:0 Tag: 0x2009 	
| V:1 D:0 Tag: 0x201e 	| V:1 D:1 Tag: 0x201f 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201e 	
| V:1 D:0 Tag: 0x201f 	| V:1 D:0 Tag: 0x200d 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:1 Tag: 0x2020 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:1 Tag: 0x201f 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:1 Tag: 0x2020 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201e 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201e 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201e 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201e 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201e 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201e 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x200a 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201f 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201f 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x201f 	
| V:1 D:0 Tag: 0x2009 	| V:1 D:0 Tag: 0x201f 	
| V:1 D:0 Tag: 0x2009 	| V:1 D:0 Tag: 0x201f 	
| V:1 D:0 Tag: 0x200b 	| V:1 D:0 Tag: 0x201f 	
| V:1 D:0 Tag: 0x200b 	| V:1 D:0 Tag: 0x2009 	
| V:1 D:0 Tag: 0x2009 	| V:1 D:0 Tag: 0x201e 	
| V:1 D:0 Tag: 0x2009 	| V:1 D:0 Tag: 0x201f 	
| V:1 D:0 Tag: 0x2009 	| V:1 D:0 Tag: 0x201f 	
| V:1 D:0 Tag: 0x2009 	| V:1 D:0 Tag: 0x201e 	
| V:1 D:0 Tag: 0x201f 	| V:1 D:1 Tag: 0x201e 	
